Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States,USA,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,4.071915832,4.234901484,4.018022698,4.222026219,3.754142934,3.722108326,3.286565594,2.996242269,2.953543453,2.670366395,2.587310097,3.078112333,2.569719385,2.500646891,2.38103252,2.363192946,2.402676929,2.39458834,2.311380406,2.254966414,2.096764252,2.048903257,2.057081552,1.959882504,1.954113553,2.03132886,2.248360489,2.218577573,2.204292252,2.127311829,2.567049073,2.924919151,,
United States,USA,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,91,,91.04477692,,89.05472565,,92.03980255,91.04477692,89.90384674,89.90384674,86.53845978,85.57691956,86.53845978,84.8341217,85.78199005,86.38497925,87.79342651,84.03755951,81.77339935,84.2364502,84.2364502,81.28078461,80.09708405,77.29468536,72.94686127,74.39613342,73.91304016,75.49019623
United States,USA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,27.26324935,27.95650879,25.88676215,23.81591622,22.96103032,22.34640833,22.61593982,21.39709819,20.48844884,19.10880467,17.16263001,17.12241274,16.66352477,16.38719295,16.17544674,16.36405735,16.08593937,15.85306971,14.92089304,14.99656895,13.11065508,13.56667585,13.30778772,13.31574801,12.90204196,12.29907941,11.26841012,10.69478574,10.56132415,11.03918123,10.48286644,8.159927306,8.541860873,10.04646733,9.838452444
United States,USA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,31.47697654,31.04706583,32.53915139,33.31257574,33.16090075,36.13957573,35.89819358,36.66726149,37.54455446,39.58733565,39.0254209,37.98010849,40.80125579,42.97808907,43.4872516,42.82187447,43.02369478,44.00554641,44.68537316,44.67075326,47.20333918,45.2701058,45.30142057,45.13772986,44.60293249,44.7337514,45.48494894,46.56962047,46.97320895,46.73801953,48.06100529,57.29072013,57.28446566,53.14631744,50.38340224
United States,USA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,4.950084721,4.824147089,4.961834777,4.148429726,3.460676764,3.209177149,3.301441972,3.093749097,1.183520403,1.249643656,0.966454495,0.95655361,1.004902698,0.866650799,0.606127175,0.831233023,1.006537596,1.154909883,1.210124797,1.339222533,1.23323651,1.176878097,1.070474285,1.318195945,1.031394507,0.875806579,0.726357342,0.583269182,0.380349688,0.490285362,0.20163548,0.176683115,,,
United States,USA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,11.15962519,11.48272534,12.50253802,14.21553392,14.3099504,15.81846792,14.18885426,15.26457372,17.00669322,18.36463773,18.43956149,19.66085473,19.79237401,19.58677543,18.9162356,19.11102375,18.88905108,18.85081823,18.16243367,18.94685106,19.38087444,20.48390985,21.43983598,21.99219944,22.47315227,22.95038438,22.91438098,22.78749138,23.04313218,23.25135263,23.14419766,21.82055955,,,
United States,USA,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,75.56292051,75.69578579,74.40735979,72.26962423,71.96284307,71.47890794,72.38353335,71.45114043,71.63481462,71.0469757,72.10633287,70.43977377,69.52049585,69.1063173,69.07141831,68.3085215,67.96167899,66.79526321,66.33159312,64.89337138,63.58522485,61.76830347,60.95625868,60.5816388,59.63396775,59.56124995,60.42834893,60.4541506,59.88949045,60.23422452,61.1725724,60.39028228,,,
United States,USA,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,68.83388313,74.04775771,75.84156735,76.30921149,76.64483615,77.97323417,77.1321289,77.77884206,80.44998851,81.93583161,82.81986863,82.36736154,81.6713505,81.53411821,80.2980441,74.40886197,73.1628362,78.71601121,76.93656928,73.14511409,66.17084002,65.44958601,62.13344102,62.02112324,61.18424607,61.42200214,63.71465297,63.26049466,61.37093651,58.91120872,59.11423232,60.17977199,57.52742985,53.46844131,56.45973277
United States,USA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,11.71998202,11.08214203,10.4281648,10.86779353,10.44640525,10.14395248,10.52766765,10.67820117,9.017451675,8.337910826,7.876468596,7.312720722,7.908859427,8.180398388,8.660707718,7.956653544,7.468260364,7.193089344,8.129278728,9.372116044,10.10650953,9.68903077,9.783869773,9.920278385,10.00777842,10.30160187,9.966026271,10.59818915,10.09918424,9.401199456,9.329768917,11.49105644,11.14914301,10.269535,9.546454631
